omsid,image_url,width,depth,height,canopy,style,taxonomy
205321436,https://images.homedepot-static.com/productImages/7bd97f6a-27f8-4b99-a4db-422aabb71a76/svn/brushed-steel-feiss-chandeliers-p1307bs-64_1000.jpg,12,12,15.875,5.5,Industrial,Lighting>Chandeliers
205321436,https://images.homedepot-static.com/productImages/86c3cb59-b808-4813-baea-77e80b123218/svn/brushed-steel-feiss-chandeliers-p1307bs-64_1000.jpg,12,12,15.875,5.5,Industrial,Lighting>Chandeliers
205321436,https://images.homedepot-static.com/productImages/ce1e4c84-8358-4dad-9583-26bbeed38d81/svn/brushed-steel-feiss-chandeliers-p1307bs-64_1000.jpg,12,12,15.875,5.5,Industrial,Lighting>Chandeliers
205321438,https://images.homedepot-static.com/productImages/372351d4-11f3-408e-8037-051cf6469df3/svn/polished-nickel-feiss-chandeliers-p1307pn-64_1000.jpg,12,12,15.875,5.5,Industrial,Lighting>Chandeliers
205321438,https://images.homedepot-static.com/productImages/c5e54a50-8ff1-4514-8178-7c2b3e2e7c9d/svn/polished-nickel-feiss-chandeliers-p1307pn-64_1000.jpg,12,12,15.875,5.5,Industrial,Lighting>Chandeliers
205321438,https://images.homedepot-static.com/productImages/d23e6601-0d9d-4715-80b1-f5b4b35c559c/svn/polished-nickel-feiss-chandeliers-p1307pn-64_1000.jpg,12,12,15.875,5.5,Industrial,Lighting>Chandeliers
205387707,https://images.homedepot-static.com/productImages/f71f0efd-45a9-402c-893a-cf3fca61d862/svn/antique-bronze-progress-lighting-chandeliers-p4707-20-64_1000.jpg,35.75,35.75,28.75,4.85,Rustic,Lighting>Chandeliers
205387707,https://images.homedepot-static.com/productImages/4cbff012-45de-497c-b85a-4b10d0bab487/svn/antique-bronze-progress-lighting-chandeliers-p4707-20-64_1000.jpg,35.75,35.75,28.75,4.85,Rustic,Lighting>Chandeliers
205387707,https://images.homedepot-static.com/productImages/2e9b2418-799d-42d9-ab81-ae1c149dea5c/svn/antique-bronze-progress-lighting-chandeliers-p4707-20-64_1000.jpg,35.75,35.75,28.75,4.85,Rustic,Lighting>Chandeliers
205459283,https://images.homedepot-static.com/productImages/aa1baaa7-d946-4074-8f73-b430839d14c1/svn/gunmetal-bronze-with-clear-glass-golden-lighting-chandeliers-073lpmpgmt-64_1000.jpg,41 in,8.5 in,8.75 in,11.75,Rustic,Lighting>Chandeliers
